usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-3378b7,S-187ad9,2024-12-21,feature_13,15,6535,1,True
U-b40769,S-187ad9,2024-10-20,feature_38,7,1593,0,False
U-9aaba6,S-187ad9,2024-11-01,feature_19,11,1046,1,True
U-270776,S-187ad9,2024-11-30,feature_26,9,2089,0,False
U-ff85d7,S-187ad9,2024-11-26,feature_22,9,666,0,False
U-3800d3,S-187ad9,2024-12-14,feature_2,17,4385,0,False
U-dd081c,S-187ad9,2024-11-30,feature_13,17,174,0,False
U-b289a4,S-187ad9,2024-11-26,feature_33,8,485,0,True
U-abf1d1,S-187ad9,2024-11-16,feature_38,9,5011,0,False
U-5c83d8,S-187ad9,2024-10-16,feature_13,12,1776,0,False
U-f3d6a1,S-187ad9,2024-11-27,feature_33,10,2356,0,False
U-63b50c,S-187ad9,2024-10-22,feature_21,13,2631,0,False
U-b74dea,S-187ad9,2024-12-30,feature_2,9,1496,0,False
U-c5ab8f,S-187ad9,2024-10-16,feature_2,12,742,0,False
U-7afab0,S-ce7f2d,2024-04-29,feature_20,7,266,0,False
U-f123e6,S-ce7f2d,2024-10-23,feature_16,16,3031,0,False
U-e65c64,S-ce7f2d,2024-06-19,feature_20,12,2333,0,False
U-1d275f,S-ce7f2d,2024-08-01,feature_15,8,1405,0,False
U-959c41,S-ce7f2d,2024-04-17,feature_16,5,769,1,False
U-49fb9d,S-ce7f2d,2024-05-28,feature_31,13,3596,1,True
U-30b649,S-ce7f2d,2024-07-25,feature_20,11,5573,1,False
U-af1c3a,S-ce7f2d,2024-04-13,feature_9,9,511,0,False
U-3a9d78,S-ce7f2d,2024-09-21,feature_3,18,5119,0,False
U-7716f7,S-ce7f2d,2024-07-05,feature_31,12,3142,1,False
U-d4a452,S-ce7f2d,2024-12-25,feature_11,12,1378,0,False
U-16e499,S-ce7f2d,2024-04-30,feature_18,13,2936,0,False
U-5ebea6,S-ce7f2d,2024-06-17,feature_5,11,1397,0,False
U-3af32c,S-ce7f2d,2024-12-06,feature_38,10,2546,0,False
U-6696a4,S-ce7f2d,2024-11-23,feature_21,16,3713,0,True
U-232b16,S-ce7f2d,2024-07-16,feature_11,9,2619,0,False
U-59b5d9,S-ce7f2d,2024-03-21,feature_5,17,3832,0,False
U-f22b08,S-ce7f2d,2024-06-21,feature_23,15,2280,0,False
U-9ec9c0,S-ce7f2d,2024-08-18,feature_27,14,4316,0,False
U-ce53d5,S-ce7f2d,2024-05-02,feature_1,5,738,0,False
U-2007ab,S-ce7f2d,2024-04-12,feature_30,13,3387,1,False
U-218fa3,S-ce7f2d,2024-07-31,feature_23,12,1540,0,False
U-66fe5a,S-ce7f2d,2024-04-07,feature_13,14,2385,1,False
U-f04dbf,S-ce7f2d,2024-11-20,feature_11,10,2582,1,True
U-e826a1,S-ce7f2d,2024-03-05,feature_31,15,4217,1,False
U-3b504b,S-ce7f2d,2024-12-26,feature_16,7,502,0,False
U-09d116,S-ce7f2d,2024-08-02,feature_3,19,2624,0,True
U-8eeade,S-ce7f2d,2024-12-25,feature_15,15,5119,0,False
U-e60e66,S-ce7f2d,2024-10-11,feature_16,12,3625,1,False
U-44078d,S-d1204f,2024-11-22,feature_10,5,5092,4,True
U-4a7c09,S-d1204f,2024-12-21,feature_10,6,1210,1,False
U-9a6ab7,S-d1204f,2024-12-25,feature_26,7,2976,2,False
U-7fce26,S-d1204f,2024-11-16,feature_18,5,504,1,False
U-3d520c,S-d1204f,2024-12-27,feature_10,6,703,1,False
U-843ea2,S-d1204f,2024-11-16,feature_10,9,2903,0,False
U-07313f,S-d1204f,2024-12-26,feature_26,10,3440,2,False
U-140848,S-d1204f,2024-12-27,feature_18,10,5083,1,False
U-0dfca3,S-d1204f,2024-11-30,feature_18,6,1423,2,True
U-38c868,S-d1204f,2024-12-27,feature_10,8,1420,2,True
U-b89b51,S-d1204f,2024-12-03,feature_10,4,474,0,False
U-159414,S-1075a9,2024-11-18,feature_18,8,122,0,False
U-7cd76d,S-1075a9,2024-11-18,feature_10,9,1302,3,False
U-0d79b8,S-1075a9,2024-12-26,feature_26,10,2990,1,True
U-ac3471,S-1075a9,2024-12-16,feature_26,8,2759,3,False
U-7c3534,S-1075a9,2024-11-28,feature_10,9,2298,0,False
U-26c131,S-1075a9,2024-11-25,feature_26,4,1175,1,False
U-2dfa2a,S-1075a9,2024-11-16,feature_18,12,3938,2,False
U-306809,S-1075a9,2024-11-30,feature_26,9,5084,1,False
U-a74620,S-d670f3,2024-11-29,feature_18,7,5339,2,False
U-82f84a,S-d670f3,2024-11-28,feature_18,8,3122,3,False
U-f1744d,S-d670f3,2024-11-18,feature_18,7,193,2,True
U-d5a423,S-d670f3,2024-12-27,feature_18,8,2060,2,False
U-545d69,S-d670f3,2024-12-13,feature_10,4,2714,1,False
U-f4bf70,S-d670f3,2024-12-16,feature_18,3,1897,4,False
U-24aa23,S-9e9a2b,2024-12-10,feature_10,1,3067,1,False
U-de0fc9,S-9e9a2b,2024-12-08,feature_18,9,2770,0,False
U-567f08,S-9e9a2b,2024-11-06,feature_26,8,3836,0,False
U-b24e14,S-9e9a2b,2024-12-19,feature_26,8,1638,0,False
U-1dc121,S-9e9a2b,2024-12-08,feature_26,3,444,1,False
U-470ef6,S-9e9a2b,2024-12-16,feature_18,8,8943,1,False
U-f871f7,S-9e9a2b,2024-12-23,feature_18,6,1329,1,False
U-ab9871,S-9e9a2b,2024-12-02,feature_26,6,3708,1,False
U-54c006,S-9e9a2b,2024-12-28,feature_18,7,12696,2,False
U-d00d77,S-3b97bb,2023-11-15,feature_24,8,3351,0,False
U-92a8db,S-3b97bb,2023-12-16,feature_37,3,3130,1,False
U-00ad1d,S-3b97bb,2023-11-04,feature_24,7,2174,1,False
U-dcc563,S-3b97bb,2023-11-28,feature_17,9,1853,2,False
U-19c5f2,S-3b97bb,2024-01-21,feature_17,3,258,1,False
U-228af3,S-3b97bb,2024-01-22,feature_37,4,1049,2,False
U-22166a,S-3b97bb,2023-12-06,feature_24,5,1661,1,False
U-92f7dd,S-3b97bb,2023-11-14,feature_17,9,2095,0,True
U-dd7fc8,S-3b97bb,2023-12-12,feature_16,5,1572,0,False
U-f68b27,S-3b97bb,2023-12-04,feature_17,6,3274,0,False
U-e27d65,S-3b97bb,2023-10-30,feature_37,7,4884,1,True
U-a3a779,S-3b97bb,2024-01-22,feature_16,4,2832,1,False
U-3566f0,S-3b97bb,2023-11-21,feature_17,6,5638,0,False
U-e7a228,S-367250,2023-12-05,feature_24,8,2301,0,False
U-620125,S-367250,2023-11-04,feature_24,6,4414,1,False
U-42abdb,S-367250,2024-01-16,feature_17,6,2531,0,False
U-de0b84,S-367250,2024-01-22,feature_37,2,1782,1,False
U-1c4bbc,S-367250,2024-01-15,feature_37,1,487,0,False
U-57a612,S-367250,2023-12-09,feature_24,4,2949,1,False
U-2d4820,S-367250,2023-11-20,feature_24,7,2218,0,False
U-449742,S-367250,2023-11-02,feature_37,3,1887,0,True
U-834014,S-367250,2023-11-21,feature_37,5,5792,0,False
U-3fe366,S-367250,2023-12-14,feature_17,5,3710,0,False
U-ee66f2,S-367250,2023-11-07,feature_16,5,1425,0,False
U-af3dda,S-367250,2023-11-29,feature_37,11,4889,0,False
U-10d29e,S-367250,2023-12-10,feature_37,5,1976,2,False
U-07aeb1,S-367250,2023-12-27,feature_37,3,330,0,False
U-895189,S-367250,2023-10-27,feature_37,2,643,0,False
U-0ea32b,S-367250,2024-01-13,feature_16,1,3328,2,False
U-cce927,S-733d21,2023-11-21,feature_16,3,5900,2,False
U-87f111,S-733d21,2023-12-01,feature_24,2,2002,0,False
U-a3de65,S-733d21,2023-12-21,feature_37,4,1986,2,False
U-d3a06c,S-733d21,2024-01-01,feature_17,5,1589,0,False
U-815148,S-733d21,2023-12-25,feature_24,1,1841,0,False
U-1ee677,S-733d21,2024-01-22,feature_16,1,1415,1,True
U-cdc0e3,S-733d21,2024-01-26,feature_37,1,1325,1,False
U-dd7019,S-733d21,2023-11-16,feature_37,7,1806,0,False
U-e4b3dd,S-733d21,2024-01-21,feature_16,4,2902,1,False
U-30efcb,S-733d21,2023-11-09,feature_37,6,1173,1,False
U-b3e8d2,S-733d21,2024-01-26,feature_37,6,2955,1,False
U-4c36ac,S-50dfcc,2024-05-03,feature_12,4,3483,0,False
U-eaf7b8,S-50dfcc,2024-05-31,feature_21,5,778,0,False
U-2f38bb,S-50dfcc,2024-05-03,feature_9,5,4394,0,False
U-e75df3,S-50dfcc,2024-06-07,feature_32,5,6773,1,False
U-995a87,S-50dfcc,2024-05-09,feature_17,3,2524,2,False
U-05bd0b,S-50dfcc,2024-05-17,feature_31,11,3128,0,False
U-30a3ef,S-50dfcc,2024-05-14,feature_19,6,1504,2,False
U-93142b,S-50dfcc,2024-05-14,feature_12,4,2208,0,False
U-cff72d,S-50dfcc,2024-06-05,feature_4,6,3184,1,False
U-a319af,S-50dfcc,2024-06-24,feature_29,5,1866,1,False
U-c01a3a,S-50dfcc,2024-05-24,feature_21,7,1628,0,False
U-14a2f1,S-50dfcc,2024-05-16,feature_31,6,3310,3,False
U-cc718f,S-50dfcc,2024-05-10,feature_1,4,3043,0,False
U-aa991a,S-50dfcc,2024-05-30,feature_18,6,516,2,False
U-954e0b,S-50dfcc,2024-05-19,feature_34,6,3740,3,False
U-d85f16,S-50dfcc,2024-06-08,feature_12,3,1666,0,False
U-b5ff07,S-50dfcc,2024-05-29,feature_14,4,837,0,False
U-7f3d36,S-50dfcc,2024-05-17,feature_21,5,4272,0,False
U-d12749,S-50dfcc,2024-06-21,feature_12,2,1088,0,False
U-25ad6d,S-50dfcc,2024-04-25,feature_14,8,2332,3,False
U-d7ba80,S-50dfcc,2024-06-03,feature_19,4,1942,0,False
U-00b276,S-50dfcc,2024-05-17,feature_31,6,1187,1,False
U-241d99,S-50dfcc,2024-05-01,feature_28,7,6377,1,True
U-fe83a5,S-50dfcc,2024-04-29,feature_4,5,1440,0,False
U-fb0d82,S-50dfcc,2024-05-31,feature_18,2,2121,0,False
U-f382c5,S-50dfcc,2024-05-02,feature_17,6,1966,0,False
U-419f65,S-50dfcc,2024-06-14,feature_17,4,1792,0,False
U-c82caa,S-18147a,2024-01-17,feature_4,11,973,0,False
U-1dc895,S-18147a,2023-12-02,feature_18,9,3754,1,False
U-b02c5f,S-18147a,2024-01-20,feature_13,16,1991,0,False
U-96476c,S-18147a,2024-03-09,feature_33,5,4762,0,False
U-7619ed,S-18147a,2023-08-29,feature_19,10,5540,1,False
U-17c28c,S-18147a,2023-12-29,feature_6,8,9465,0,False
U-5f3c80,S-18147a,2023-06-21,feature_18,13,5913,2,True
U-d23d84,S-18147a,2023-05-14,feature_19,9,6588,1,True
U-56f1e2,S-18147a,2024-12-16,feature_19,9,405,0,False
U-e964de,S-18147a,2023-06-12,feature_4,5,2863,0,False
U-337416,S-18147a,2023-06-06,feature_4,3,2018,1,False
U-6f6e97,S-18147a,2024-10-25,feature_25,8,4418,1,False
U-3f21eb,S-18147a,2024-12-16,feature_22,9,3570,2,False
U-b3b65c,S-18147a,2024-09-28,feature_19,7,2007,0,False
U-184e37,S-18147a,2023-08-02,feature_25,12,2577,1,False
U-efa0a6,S-18147a,2024-05-28,feature_19,12,1353,0,True
U-b50419,S-18147a,2024-07-02,feature_25,4,4048,1,False
U-2dd612,S-18147a,2024-08-15,feature_4,16,4983,0,False
U-bf67ed,S-44d374,2024-10-08,feature_19,14,2204,0,False
U-3e69f4,S-44d374,2024-02-11,feature_33,13,2846,1,False
U-5ef99b,S-44d374,2024-02-06,feature_22,11,3893,0,False
U-85ef86,S-44d374,2024-08-29,feature_12,5,2295,0,False
U-b99f90,S-44d374,2023-12-30,feature_33,9,5654,1,False
U-e8556a,S-44d374,2024-11-12,feature_19,7,1718,1,False
U-19efea,S-44d374,2024-09-23,feature_31,17,1336,1,False
U-8ef3d9,S-44d374,2024-11-10,feature_18,9,2663,0,False
U-932a6b,S-44d374,2024-03-02,feature_23,9,1597,0,True
U-f36c88,S-44d374,2023-12-05,feature_22,9,9252,0,False
U-0c3ba6,S-44d374,2024-06-19,feature_12,11,2916,0,False
U-6165a7,S-44d374,2023-12-17,feature_33,12,2995,1,False
U-3bdbb7,S-44d374,2024-01-21,feature_12,10,5436,1,True
U-dba8b5,S-44d374,2024-03-24,feature_12,10,2176,2,False
U-99f955,S-44d374,2024-04-23,feature_23,10,2900,0,False
U-9ce3eb,S-44d374,2024-02-17,feature_13,8,2961,1,False
U-a26c80,S-44d374,2024-01-30,feature_23,10,6054,0,False
U-38ab28,S-44d374,2024-01-12,feature_22,4,3350,0,False
U-da5000,S-44d374,2024-08-07,feature_12,10,1637,2,False
U-ac12f3,S-44d374,2024-02-09,feature_6,9,477,1,False
U-d721fa,S-d812ff,2024-11-18,feature_6,10,2502,0,False
U-44cd2a,S-d812ff,2024-11-08,feature_37,8,531,2,False
U-f35b1c,S-d812ff,2024-11-26,feature_27,9,399,1,False
U-8402fe,S-d812ff,2024-12-20,feature_6,11,3637,0,False
U-9afea4,S-d812ff,2024-11-09,feature_31,8,3271,0,False
U-463366,S-d812ff,2024-12-28,feature_31,7,3405,0,False
U-0cbdf9,S-d812ff,2024-10-27,feature_24,4,1352,0,False
U-09206c,S-d812ff,2024-12-18,feature_27,14,2113,0,False
U-173882,S-d812ff,2024-12-10,feature_17,16,731,0,False
U-9e7b7f,S-d812ff,2024-12-24,feature_16,5,2495,0,False
U-f5889e,S-d812ff,2024-11-29,feature_24,9,3835,1,False
U-cf331e,S-d812ff,2024-12-10,feature_27,7,937,0,False
U-9fb89b,S-d812ff,2024-10-30,feature_31,7,2748,3,True
U-0a40b9,S-c1baf7,2024-11-30,feature_23,17,2894,2,False
U-3d4bec,S-c1baf7,2024-11-04,feature_37,11,1788,1,False
U-05c0c0,S-c1baf7,2024-10-31,feature_16,9,520,0,False
U-97897a,S-c1baf7,2024-11-10,feature_23,11,3181,0,False
U-bc559c,S-c1baf7,2024-12-11,feature_27,14,3137,0,False
U-c0d5fa,S-c1baf7,2024-12-08,feature_18,7,1020,1,False
U-ce469c,S-c1baf7,2024-12-16,feature_16,14,1991,0,False
U-77b11e,S-c1baf7,2024-10-28,feature_37,11,4955,0,False
U-77097c,S-c1baf7,2024-12-15,feature_27,9,10113,0,True
U-db89b0,S-c1baf7,2024-11-26,feature_24,9,1706,0,True
U-de4f05,S-c1baf7,2024-11-14,feature_6,9,1759,1,False
U-3a74f0,S-c1baf7,2024-12-04,feature_37,9,2654,1,False
U-6cd7a4,S-c1baf7,2024-12-17,feature_9,7,3559,0,False
U-a898ea,S-c1baf7,2024-10-31,feature_6,11,1896,0,True
U-9edc35,S-c1baf7,2024-12-17,feature_24,9,2218,1,False
U-259055,S-c1baf7,2024-12-01,feature_37,16,654,1,False
U-48125e,S-c1baf7,2024-12-05,feature_18,11,746,0,False
U-1b8937,S-c1baf7,2024-12-22,feature_21,16,3955,0,False
U-22d192,S-c1baf7,2024-12-11,feature_37,10,3862,1,False
U-84b8e6,S-c1baf7,2024-12-02,feature_27,15,1781,1,False
U-2edc9f,S-c1baf7,2024-11-15,feature_11,9,1789,0,False
U-910157,S-c1baf7,2024-11-27,feature_27,13,1597,1,False
U-5b9930,S-c1baf7,2024-12-19,feature_24,13,2275,2,False
U-6dec06,S-c1baf7,2024-12-30,feature_37,9,2197,2,False
U-708dae,S-c1baf7,2024-12-14,feature_37,12,1266,0,False
U-c466b2,S-c1baf7,2024-12-16,feature_17,8,1103,1,True
U-ff4709,S-7a2b73,2024-12-26,feature_31,6,547,0,False
U-a02afd,S-7a2b73,2024-12-05,feature_31,15,2441,1,False
U-9dd5a1,S-7a2b73,2024-11-26,feature_37,7,1242,0,False
U-c08468,S-7a2b73,2024-11-25,feature_17,9,10514,1,False
U-6b2e1a,S-7a2b73,2024-12-27,feature_23,12,2232,1,False
U-260742,S-7a2b73,2024-12-13,feature_17,13,3663,0,True
U-45ab70,S-7a2b73,2024-12-16,feature_37,12,693,2,False
U-521312,S-7a2b73,2024-12-16,feature_21,6,4198,2,False
U-c9e9c2,S-7a2b73,2024-12-13,feature_31,14,8942,2,True
U-a993a4,S-7a2b73,2024-12-22,feature_6,8,1673,0,False
U-8c93a7,S-7a2b73,2024-12-27,feature_6,13,783,0,False
U-407cbc,S-7a2b73,2024-12-17,feature_27,10,3991,2,False
U-88c94a,S-7a2b73,2024-12-25,feature_24,11,5043,2,False
U-805911,S-7a2b73,2024-11-24,feature_21,11,1583,0,False
U-b5e9eb,S-7a2b73,2024-12-11,feature_6,9,4569,0,False
U-02c210,S-7a2b73,2024-12-16,feature_27,8,10948,1,False
U-eb94d4,S-7a2b73,2024-12-01,feature_17,10,1353,1,False
