subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-dfe619,A-956988,2024-12-19,,Pro,32,2874,34488,False,False,False,False,monthly,True
S-dd9c09,A-ac14bb,2023-11-21,2024-02-01,Pro,3,174,2088,False,False,False,True,monthly,True
S-1b09f1,A-ac14bb,2023-12-07,,Pro,62,5249,62988,False,False,False,False,monthly,True
S-60be08,A-ac14bb,2023-10-26,,Pro,26,1500,18000,False,False,True,False,annual,True
S-c072e8,A-ac14bb,2024-01-10,,Enterprise,83,15945,191340,False,False,False,False,monthly,True
S-8fc5a4,A-463db0,2024-12-09,,Basic,13,618,7416,False,True,False,False,monthly,True
S-8cff7e,A-ce66f8,2024-09-13,,Pro,51,0,0,True,False,False,False,monthly,False
S-e801ad,A-c4ea60,2023-05-29,,Pro,44,2990,35880,False,False,False,False,monthly,True
S-e3ed75,A-c4ea60,2023-10-20,,Basic,10,411,4932,False,False,False,False,annual,True
S-7ac251,A-832ec2,2024-02-15,,Enterprise,27,5486,65832,False,False,False,False,annual,True
S-e64317,A-684255,2024-04-30,,Enterprise,23,0,0,True,False,False,False,monthly,True
S-c56a5b,A-684255,2024-07-09,,Pro,10,593,7116,False,False,False,False,monthly,True
S-57fd96,A-684255,2024-05-29,,Basic,38,1590,19080,False,False,False,False,monthly,True
S-f7596e,A-c42f1f,2024-10-30,,Basic,30,1129,13548,False,False,False,False,monthly,False
S-306f0c,A-c42f1f,2024-07-31,,Enterprise,36,0,0,True,True,False,False,annual,True
S-0872b2,A-4e44e8,2024-09-22,,Pro,32,2552,30624,False,False,False,False,monthly,True
S-68807a,A-4e44e8,2024-09-30,,Pro,43,2641,31692,False,False,True,False,annual,True
S-8bc2ce,A-4e44e8,2024-09-01,,Basic,7,234,2808,False,False,False,False,annual,True
S-dd3a7f,A-30b4ca,2024-09-16,,Pro,45,2572,30864,False,False,False,False,annual,True
S-d2fb87,A-30b4ca,2024-09-18,,Enterprise,31,4367,52404,False,False,False,False,monthly,True
S-7cc8f3,A-9f2731,2024-11-02,,Enterprise,33,6862,82344,False,False,False,False,monthly,True
S-6927da,A-9f2731,2024-11-29,,Enterprise,21,4159,49908,False,False,False,False,monthly,True
S-b22750,A-32fb14,2023-04-01,,Basic,36,1512,18144,False,False,True,False,monthly,True
S-8cb1c6,A-32fb14,2023-09-01,,Basic,27,805,9660,False,False,False,False,monthly,True
S-273abb,A-00cac8,2023-11-12,,Enterprise,17,0,0,True,False,False,False,monthly,True
S-157f8a,A-00cac8,2023-11-13,,Basic,31,1212,14544,False,False,False,False,monthly,False
S-54cd08,A-35083d,2024-03-15,,Pro,67,4199,50388,False,False,False,False,monthly,True
S-c2a789,A-35083d,2023-06-26,,Basic,55,2164,25968,False,False,False,False,annual,True
S-d135c9,A-eb7fac,2024-01-14,,Pro,16,1293,15516,False,True,False,False,monthly,True
S-30f206,A-eb7fac,2023-11-17,,Basic,13,469,5628,False,False,False,False,annual,False
S-84216f,A-b20d99,2023-11-05,,Pro,7,0,0,True,False,False,False,annual,False
S-293a03,A-396e5f,2024-10-09,,Pro,37,2696,32352,False,False,False,False,annual,True
S-0ab274,A-396e5f,2024-10-06,,Pro,47,3657,43884,False,False,False,False,annual,True
S-00faa4,A-45ce7a,2023-08-05,2023-12-11,Basic,44,1317,15804,False,True,False,True,annual,True
S-4c7178,A-08e34e,2024-08-08,,Basic,16,0,0,True,True,False,False,annual,True
S-98d39e,A-08e34e,2024-08-06,,Pro,59,0,0,True,False,False,False,annual,False
S-ffb1f0,A-08e34e,2024-07-06,,Enterprise,22,2753,33036,False,False,False,False,monthly,True
S-87acb3,A-8145a0,2023-10-07,2024-05-16,Pro,8,498,5976,False,False,False,True,monthly,True
S-cc0a28,A-8145a0,2023-07-17,2024-05-17,Basic,14,559,6708,False,False,False,True,monthly,False
S-354dec,A-8145a0,2023-10-07,,Basic,8,297,3564,False,False,False,False,annual,True
S-b52964,A-8145a0,2023-10-08,2024-05-13,Basic,35,0,0,True,True,False,True,annual,True
S-32d5ea,A-bad8c1,2023-06-13,,Basic,31,1464,17568,False,False,False,False,annual,True
S-2161fe,A-bad8c1,2023-07-31,,Enterprise,35,7361,88332,False,False,False,False,annual,True
S-a4da5e,A-bad8c1,2023-04-24,,Pro,4,0,0,True,False,False,False,monthly,False
S-39be24,A-44dc83,2024-05-13,,Pro,54,4204,50448,False,False,False,False,monthly,False
S-d7cc45,A-44dc83,2024-05-28,,Enterprise,6,1119,13428,False,False,False,False,annual,True
S-70c1ec,A-f446b6,2023-08-19,,Enterprise,31,5820,69840,False,False,True,False,monthly,True
S-51c736,A-f446b6,2023-06-26,,Basic,16,689,8268,False,False,False,False,monthly,True
S-eba82f,A-f446b6,2023-06-20,2024-06-21,Pro,40,3115,37380,False,False,False,True,monthly,True
S-b8b5bf,A-f446b6,2023-05-28,,Enterprise,12,0,0,True,True,False,False,monthly,False
S-50bddf,A-a45270,2024-08-28,2024-11-21,Basic,150,6577,78924,False,False,False,True,monthly,False
S-5e39ee,A-854864,2024-12-19,,Basic,3,130,1560,False,False,False,False,annual,True
S-987de3,A-1b7577,2024-11-01,,Basic,54,2495,29940,False,False,False,False,monthly,True
S-2dc178,A-1b7577,2024-12-02,,Pro,23,1550,18600,False,False,False,False,monthly,True
S-0af3c1,A-05f0e5,2024-03-17,,Basic,16,557,6684,False,False,False,False,annual,True
S-39eeef,A-9077b0,2024-10-14,,Basic,29,1224,14688,False,False,False,False,annual,True
S-c52d28,A-7f8241,2023-10-09,,Pro,37,2122,25464,False,True,False,False,annual,True
S-c0e435,A-2bc93d,2024-03-25,,Pro,112,9046,108552,False,False,False,False,annual,True
S-772373,A-2bc93d,2023-12-10,,Basic,19,870,10440,False,True,False,False,monthly,True
S-ae00a0,A-f3ff05,2024-11-04,,Enterprise,43,8505,102060,False,False,False,False,annual,True
S-a779e2,A-f3ff05,2024-10-21,,Enterprise,35,6565,78780,False,True,False,False,monthly,True
S-2b0676,A-f3ff05,2024-07-17,,Enterprise,24,4867,58404,False,False,False,False,monthly,False
S-8140fd,A-f3ff05,2024-10-18,,Enterprise,21,3410,40920,False,False,True,False,annual,True
S-404fca,A-f3ff05,2024-07-22,,Pro,11,711,8532,False,False,False,False,annual,True
S-e28c06,A-2d4502,2024-07-22,,Enterprise,8,1089,13068,False,False,True,False,annual,True
S-523f81,A-2d4502,2024-08-04,,Enterprise,42,5515,66180,False,False,False,False,monthly,True
S-a9668e,A-2d4502,2024-07-03,,Pro,41,0,0,True,False,False,False,monthly,True
S-c63132,A-6a4e2d,2024-06-23,,Basic,83,0,0,True,False,False,False,annual,False
S-c90e2a,A-6a4e2d,2023-06-10,,Basic,15,448,5376,False,False,False,False,monthly,True
S-098e97,A-6a4e2d,2023-12-19,,Basic,30,974,11688,False,False,False,False,annual,True
S-8a6b8f,A-6a4e2d,2023-07-17,,Enterprise,10,1621,19452,False,True,False,False,annual,True
S-3bdbf6,A-eb7c38,2024-05-26,,Pro,4,336,4032,False,False,False,False,monthly,True
S-8252cc,A-eb7c38,2024-07-23,,Pro,19,1617,19404,False,False,False,False,annual,True
S-3c5bfd,A-eb7c38,2024-05-19,,Pro,13,1245,14940,False,False,False,False,monthly,True
S-221d82,A-c37601,2024-11-14,,Basic,35,1388,16656,False,False,False,False,monthly,True
S-989a26,A-c37601,2024-11-22,,Pro,11,1017,12204,False,False,False,False,monthly,True
S-be39f9,A-c37601,2024-11-11,,Pro,7,436,5232,False,False,False,False,monthly,False
S-390790,A-3b5cd1,2023-10-03,,Enterprise,20,2920,35040,False,False,False,False,monthly,True
S-3fa731,A-3b5cd1,2024-08-03,2024-09-16,Basic,87,2526,30312,False,False,False,True,annual,True
S-682c60,A-3b5cd1,2024-02-11,,Basic,5,244,2928,False,False,False,False,annual,True
S-2d553c,A-3b5cd1,2024-04-20,,Pro,14,1062,12744,False,True,False,False,annual,True
S-d3b72c,A-b2225d,2024-09-21,,Enterprise,30,5160,61920,False,False,False,False,monthly,True
S-1d0533,A-b2225d,2024-11-19,,Enterprise,74,12091,145092,False,False,False,False,monthly,True
S-7c68f7,A-b2225d,2024-07-19,,Enterprise,29,4336,52032,False,False,False,False,annual,True
S-c6142e,A-b2225d,2024-05-04,,Basic,13,465,5580,False,False,False,False,monthly,True
S-0d2281,A-94f8c9,2024-08-21,,Enterprise,29,5893,70716,False,False,False,False,annual,True
S-1c0911,A-94f8c9,2024-05-29,,Basic,46,0,0,True,False,False,False,annual,True
S-a60af8,A-02fac6,2023-07-01,,Basic,24,1047,12564,False,False,True,False,monthly,False
S-6d597b,A-02fac6,2023-05-05,2023-12-29,Basic,47,2018,24216,False,True,False,True,monthly,False
S-876470,A-02fac6,2023-04-13,2023-12-30,Pro,32,2556,30672,False,False,False,True,annual,True
S-515504,A-c1dfe1,2023-10-08,2024-03-31,Basic,7,311,3732,False,False,False,True,annual,True
S-af9baf,A-c1dfe1,2023-10-20,,Enterprise,20,2928,35136,False,False,False,False,annual,False
S-f17ee8,A-32728c,2023-05-19,,Basic,84,3919,47028,False,False,False,False,annual,False
S-7078a8,A-32728c,2023-05-05,2024-02-24,Enterprise,29,0,0,True,False,False,True,annual,True
S-3f3684,A-32728c,2023-01-16,,Basic,39,1580,18960,False,False,False,False,monthly,True
S-193ec6,A-32728c,2023-02-23,2024-02-26,Basic,44,0,0,True,True,False,True,annual,True
S-7f0602,A-32728c,2023-01-27,2024-02-23,Basic,70,0,0,True,False,False,True,monthly,False
S-e1fcab,A-4c38bc,2024-06-17,,Pro,8,522,6264,False,False,True,False,annual,True
S-215c42,A-4c38bc,2024-04-19,,Pro,7,585,7020,False,False,False,False,annual,True
S-ca86cb,A-4c38bc,2024-05-26,,Pro,46,4350,52200,False,False,False,False,monthly,False
S-52d26e,A-4c38bc,2024-04-23,,Pro,24,2117,25404,False,False,False,False,monthly,True
S-6d7b94,A-1b707d,2023-10-05,2024-05-06,Enterprise,52,6947,83364,False,False,False,True,annual,True
S-e77aed,A-1b707d,2023-09-14,,Basic,19,0,0,True,False,True,False,annual,False
S-635446,A-6f8ad2,2024-09-02,,Pro,40,0,0,True,True,False,False,annual,True
S-08d616,A-4d1e75,2024-09-30,,Basic,21,1033,12396,False,False,False,False,annual,True
S-5944b2,A-9ee962,2024-04-09,,Basic,2,91,1092,False,False,False,False,monthly,True
S-e4d156,A-9ee962,2023-10-04,,Pro,33,2719,32628,False,False,False,False,monthly,True
S-713ee7,A-9ee962,2023-07-10,,Pro,38,2815,33780,False,False,False,False,annual,True
S-14fedd,A-9ee962,2024-06-07,,Pro,8,641,7692,False,False,False,False,annual,True
S-b9ca5a,A-9ee962,2023-07-22,,Pro,22,0,0,True,False,False,False,annual,True
S-4a672f,A-378b99,2024-09-12,2024-10-22,Basic,10,451,5412,False,True,False,True,monthly,True
S-b177ec,A-378b99,2024-10-07,,Pro,17,1481,17772,False,False,False,False,annual,True
S-e72b3a,A-94d3da,2023-12-02,,Pro,20,1497,17964,False,False,False,False,monthly,True
S-651cb5,A-94d3da,2023-05-22,2024-10-23,Pro,23,1333,15996,False,False,False,True,annual,True
S-bfbf76,A-e351e1,2024-12-07,,Pro,20,1239,14868,False,False,False,False,annual,True
S-da9afa,A-e351e1,2024-10-06,,Enterprise,20,2667,32004,False,False,False,False,monthly,True
S-d0b514,A-9badbd,2024-08-06,,Pro,17,1372,16464,False,False,False,False,annual,True
S-dd4365,A-9badbd,2024-07-12,,Enterprise,21,3976,47712,False,False,False,False,monthly,True
S-7c521a,A-9badbd,2024-08-09,,Enterprise,18,2609,31308,False,False,False,False,annual,True
S-33c1a0,A-9badbd,2024-06-30,,Pro,17,1415,16980,False,False,False,False,monthly,True
S-fbda6f,A-9badbd,2024-07-06,,Basic,17,818,9816,False,False,False,False,annual,True
S-c19847,A-7e0a10,2024-05-03,2024-07-16,Basic,53,2560,30720,False,False,False,True,monthly,True
S-f1eb14,A-7e0a10,2024-01-17,,Pro,6,514,6168,False,False,False,False,monthly,True
S-db12e2,A-7e0a10,2024-02-26,2024-07-22,Pro,12,1111,13332,False,False,False,True,annual,True
S-9f20df,A-118d55,2024-12-02,,Basic,77,3155,37860,False,False,False,False,annual,True
S-830ece,A-118d55,2024-10-29,,Pro,8,623,7476,False,False,False,False,annual,True
S-c676b1,A-118d55,2024-11-06,,Basic,83,2993,35916,False,True,False,False,annual,True
S-0f50a6,A-526d93,2024-06-08,,Basic,32,1312,15744,False,False,True,False,monthly,True
S-3679ee,A-f92792,2024-07-17,,Pro,55,5071,60852,False,False,False,False,annual,False
S-d7829a,A-f92792,2024-08-19,,Enterprise,23,4866,58392,False,False,True,False,annual,True
S-e0d81f,A-f92792,2024-08-19,,Pro,17,1089,13068,False,True,False,False,annual,True
S-763114,A-f92792,2024-08-07,,Basic,39,1423,17076,False,False,False,False,monthly,True
S-479fc7,A-84ebe4,2023-06-04,,Basic,43,1237,14844,False,False,False,False,annual,True
S-e86360,A-84ebe4,2023-05-16,,Basic,26,865,10380,False,False,False,False,annual,False
S-2f3919,A-5b4ebb,2024-07-10,,Basic,15,607,7284,False,False,False,False,monthly,True
S-f720c1,A-5b4ebb,2024-07-17,2024-07-18,Basic,10,294,3528,False,False,False,True,annual,True
S-5d8dda,A-5b4ebb,2024-07-12,2024-07-19,Pro,12,861,10332,False,False,False,True,annual,False
S-e034e9,A-2922b6,2024-12-03,,Pro,24,1993,23916,False,False,False,False,monthly,False
S-43cd05,A-2922b6,2024-11-29,,Enterprise,52,9271,111252,False,False,False,False,annual,False
S-83bcdc,A-9b9fe9,2023-10-10,2023-11-12,Pro,9,762,9144,False,False,True,True,annual,True
S-d545da,A-9b9fe9,2023-10-05,2023-11-11,Enterprise,11,1797,21564,False,False,False,True,monthly,True
S-5b340f,A-9b9fe9,2023-09-29,2023-11-13,Basic,14,679,8148,False,False,False,True,monthly,False
S-3c10a1,A-a8b49c,2024-05-12,,Basic,21,944,11328,False,True,False,False,annual,False
S-259025,A-9174e0,2024-12-21,,Pro,27,0,0,True,False,False,False,monthly,True
S-b14344,A-9174e0,2024-12-26,,Enterprise,66,13238,158856,False,False,False,False,monthly,True
S-a1f3fb,A-9174e0,2024-12-09,,Pro,55,3162,37944,False,True,False,False,annual,True
S-54ff90,A-a1bbb6,2024-02-19,,Basic,24,1115,13380,False,False,True,False,annual,True
S-e70c05,A-a1bbb6,2023-06-13,,Enterprise,50,0,0,True,False,False,False,annual,True
S-16c22f,A-a1bbb6,2023-12-11,,Basic,28,844,10128,False,False,False,False,annual,True
S-2194f2,A-c45b23,2024-03-04,,Basic,27,997,11964,False,False,False,False,annual,True
S-9eb032,A-c45b23,2023-12-30,,Pro,17,1613,19356,False,False,False,False,annual,True
S-e30642,A-02cd81,2024-04-26,,Pro,23,1543,18516,False,False,True,False,monthly,True
S-7e3fa6,A-02cd81,2024-05-14,2024-06-16,Basic,68,2484,29808,False,False,False,True,annual,True
S-a5330a,A-ee42db,2023-08-30,2024-08-28,Enterprise,16,3200,38400,False,False,False,True,monthly,True
S-1301e0,A-ee42db,2023-09-18,,Pro,16,0,0,True,True,False,False,monthly,True
S-952415,A-ee42db,2023-11-03,,Enterprise,18,3861,46332,False,False,False,False,annual,True
S-d9cbe1,A-ee42db,2023-07-29,2024-08-22,Pro,47,2791,33492,False,False,False,True,monthly,True
S-268c11,A-432483,2023-10-30,,Enterprise,35,6235,74820,False,False,False,False,monthly,True
S-c863bc,A-9208f0,2023-10-01,2024-06-30,Enterprise,26,3581,42972,False,False,False,True,monthly,True
S-00ce3b,A-98a59a,2024-04-16,,Enterprise,35,4692,56304,False,True,False,False,annual,True
S-d122cc,A-98a59a,2024-08-12,,Enterprise,68,10596,127152,False,False,False,False,monthly,True
S-22aec2,A-fe79a5,2024-03-22,2024-08-19,Basic,15,0,0,True,False,False,True,monthly,False
S-613959,A-fe79a5,2024-03-06,2024-08-20,Pro,16,1011,12132,False,False,False,True,annual,False
S-49a305,A-726cfa,2024-02-01,,Pro,54,4475,53700,False,False,True,False,monthly,True
S-024540,A-726cfa,2023-11-24,2024-03-12,Enterprise,26,0,0,True,False,True,True,monthly,True
S-2eb705,A-726cfa,2023-07-02,,Pro,18,1223,14676,False,True,True,False,annual,True
S-ecc360,A-c43359,2024-11-26,,Basic,6,286,3432,False,False,False,False,annual,True
S-d1949d,A-c43359,2024-11-21,,Pro,41,2290,27480,False,True,False,False,monthly,True
S-50a820,A-c43359,2024-11-22,,Pro,28,2055,24660,False,False,False,False,annual,False
S-891972,A-271f46,2023-07-20,,Enterprise,7,1436,17232,False,False,False,False,annual,True
S-9a2a39,A-271f46,2023-04-25,,Pro,51,4338,52056,False,False,False,False,monthly,False
S-de451f,A-271f46,2023-04-06,2024-01-26,Basic,9,423,5076,False,False,True,True,annual,True
S-5ce7b7,A-271f46,2023-07-09,2024-01-19,Basic,15,447,5364,False,False,False,True,annual,False
S-93d1ae,A-157070,2024-03-10,,Basic,14,590,7080,False,False,False,False,monthly,True
S-ccafd4,A-40a557,2024-03-26,,Pro,48,4547,54564,False,False,False,False,monthly,False
S-964d02,A-40a557,2024-02-28,,Pro,2,0,0,True,False,False,False,annual,True
S-138ffe,A-40a557,2023-12-26,,Basic,28,1048,12576,False,False,False,False,annual,True
S-c7c4a0,A-66224b,2024-10-31,,Basic,38,1431,17172,False,False,False,False,annual,True
S-efb24b,A-66224b,2024-11-09,,Basic,17,570,6840,False,False,False,False,monthly,True
S-786d27,A-91e948,2023-06-03,,Enterprise,67,10041,120492,False,False,False,False,annual,True
S-3b442d,A-91e948,2023-03-12,,Pro,39,2569,30828,False,False,False,False,monthly,True
S-3def5a,A-104f1a,2024-11-22,,Enterprise,41,8324,99888,False,False,False,False,monthly,True
S-d113f1,A-104f1a,2024-08-27,,Enterprise,30,5075,60900,False,False,False,False,monthly,True
S-cde88b,A-104f1a,2024-09-21,,Enterprise,5,930,11160,False,True,False,False,monthly,False
S-ac5e63,A-104f1a,2024-09-24,,Basic,21,799,9588,False,False,False,False,annual,True
S-c90209,A-104f1a,2024-09-29,,Basic,7,0,0,True,False,False,False,annual,True
S-d51db8,A-7988d1,2023-12-29,,Pro,9,604,7248,False,False,False,False,annual,True
S-3a5340,A-7988d1,2024-07-13,,Basic,29,850,10200,False,False,False,False,monthly,True
S-7cdbef,A-7988d1,2024-02-23,,Basic,22,684,8208,False,False,False,False,monthly,False
S-365ade,A-faa28c,2024-02-10,,Basic,55,2183,26196,False,False,False,False,annual,True
S-181579,A-f25509,2024-03-31,2024-07-05,Pro,65,4104,49248,False,False,False,True,annual,True
S-cf5811,A-f25509,2024-05-28,2024-06-30,Enterprise,21,3415,40980,False,False,False,True,monthly,True
S-fff4a3,A-3a7284,2024-11-21,,Pro,2,136,1632,False,False,False,False,monthly,True
S-a7e5aa,A-3a5ad8,2024-10-17,,Enterprise,19,3481,41772,False,False,False,False,annual,True
S-c0773c,A-3a5ad8,2024-05-19,,Basic,23,733,8796,False,True,False,False,monthly,False
S-d1ad4a,A-65a46c,2024-01-09,2024-05-30,Enterprise,9,1476,17712,False,False,False,True,annual,False
S-90dc45,A-65a46c,2024-01-02,,Enterprise,39,0,0,True,False,True,False,monthly,True
S-cc1592,A-65a46c,2023-11-12,2024-05-31,Enterprise,10,2000,24000,False,False,False,True,monthly,False
S-f3d1e0,A-8b25f2,2024-04-01,2024-05-27,Basic,21,706,8472,False,False,False,True,annual,False
S-a571a9,A-fabe19,2024-12-06,,Enterprise,21,0,0,True,False,True,False,monthly,True
S-578b80,A-fabe19,2024-12-01,,Pro,25,2340,28080,False,False,False,False,annual,True
S-856553,A-adc1f3,2024-08-19,,Basic,24,0,0,True,False,False,False,monthly,True
S-5b3c79,A-adc1f3,2024-08-22,,Enterprise,5,654,7848,False,False,False,False,monthly,True
S-13ed1e,A-adc1f3,2024-11-23,,Basic,88,2650,31800,False,False,False,False,monthly,False
S-d232dd,A-503d5a,2024-04-19,,Pro,14,1192,14304,False,False,False,False,monthly,True
S-b4edd5,A-503d5a,2023-11-03,,Basic,15,646,7752,False,False,False,False,annual,True
S-ba2989,A-503d5a,2024-03-04,,Basic,22,746,8952,False,False,False,False,monthly,True
S-5ae9dc,A-fd7ad3,2024-11-10,,Pro,21,1910,22920,False,False,False,False,annual,True
S-5baf52,A-186a44,2024-04-02,,Enterprise,69,12859,154308,False,False,False,False,annual,True
S-aa9b80,A-e888d1,2023-05-24,2023-09-30,Pro,18,1273,15276,False,False,False,True,monthly,True
S-e43dc8,A-e888d1,2023-05-18,,Basic,56,0,0,True,False,False,False,monthly,True
S-b14365,A-69fad4,2023-04-27,,Enterprise,38,4919,59028,False,False,False,False,monthly,True
S-1b96e5,A-69fad4,2023-09-06,,Basic,36,1519,18228,False,False,False,False,annual,False
S-1d2179,A-9289f6,2023-07-25,,Basic,32,1543,18516,False,False,True,False,monthly,True
S-4d4fa2,A-f19409,2023-05-21,2024-06-15,Basic,17,686,8232,False,False,True,True,annual,False
S-61da6a,A-f19409,2023-03-29,2024-06-15,Pro,6,510,6120,False,False,False,True,monthly,True
S-99654c,A-22f2df,2024-12-14,,Basic,34,1147,13764,False,True,False,False,annual,True
S-77b8f3,A-22f2df,2024-12-16,,Pro,57,4240,50880,False,False,True,False,monthly,False
S-068daf,A-039727,2024-11-17,,Basic,16,558,6696,False,True,True,False,annual,True
S-18d84c,A-039727,2024-11-21,,Enterprise,13,1703,20436,False,False,False,False,monthly,True
S-d48c20,A-039727,2024-11-16,,Pro,49,3970,47640,False,False,True,False,annual,True
S-bc29bf,A-039727,2024-11-06,,Pro,4,250,3000,False,False,False,False,annual,True
S-c39b42,A-039727,2024-12-08,,Pro,13,1058,12696,False,False,False,False,monthly,False
S-6b89af,A-2e3bad,2023-12-03,,Pro,8,628,7536,False,False,False,False,monthly,True
S-a262cf,A-2e3bad,2024-03-12,,Enterprise,26,5186,62232,False,False,False,False,annual,True
S-c3b044,A-484819,2023-03-30,2023-05-03,Basic,7,248,2976,False,False,True,True,annual,False
S-7560d6,A-484819,2023-04-08,,Enterprise,14,0,0,True,False,False,False,monthly,False
S-c0da3c,A-484819,2023-03-01,2023-04-30,Basic,10,290,3480,False,False,True,True,monthly,False
S-bbdf24,A-425e76,2023-08-10,,Enterprise,28,5131,61572,False,False,False,False,monthly,True
S-011b90,A-e83938,2024-01-22,2024-03-29,Pro,35,3073,36876,False,True,False,True,monthly,True
S-613081,A-e83938,2024-01-05,,Enterprise,41,5844,70128,False,False,False,False,annual,False
S-ceddce,A-ad296b,2024-09-12,,Enterprise,17,2535,30420,False,False,False,False,monthly,False
S-e394d0,A-e51ec7,2023-11-01,2024-03-26,Enterprise,14,0,0,True,False,False,True,annual,True
S-66d4e7,A-e51ec7,2023-11-16,2024-03-24,Basic,12,400,4800,False,False,False,True,monthly,True
S-a8644a,A-0aaf6e,2024-10-09,,Enterprise,48,9421,113052,False,False,False,False,annual,True
S-5d230d,A-e61e98,2024-06-18,,Enterprise,46,8314,99768,False,False,False,False,annual,True
S-600ee4,A-92a333,2023-09-12,,Pro,16,1124,13488,False,False,False,False,annual,True
S-a4db7e,A-95b24a,2023-12-28,2024-04-10,Pro,20,1547,18564,False,False,False,True,monthly,True
S-3f4ed9,A-42e5e1,2024-08-18,,Pro,4,315,3780,False,False,False,False,annual,True
S-1cbd33,A-42e5e1,2024-08-28,,Basic,18,704,8448,False,False,True,False,monthly,True
S-55027f,A-42e5e1,2024-09-04,,Basic,45,1585,19020,False,False,False,False,annual,True
S-23d01e,A-7d514c,2024-05-08,,Basic,51,1907,22884,False,False,False,False,monthly,False
S-4406ff,A-7d514c,2024-05-06,,Enterprise,41,5752,69024,False,False,False,False,annual,False
S-aaab83,A-65aeb5,2024-04-15,,Basic,25,729,8748,False,True,False,False,monthly,True
S-de21c0,A-65aeb5,2024-02-26,,Basic,40,1316,15792,False,False,False,False,monthly,True
S-cf0c24,A-65aeb5,2024-03-28,,Enterprise,5,0,0,True,True,True,False,annual,True
S-8a114a,A-e2cd1b,2024-05-15,,Basic,17,619,7428,False,False,False,False,monthly,True
