ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-69b239,A-3cc791,2024-01-19 20:22:00,2024-01-22 09:36:03,61.2,high,157,,False
T-f46e84,A-3cc791,2024-08-01 10:48:00,2024-08-02 08:33:17,21.8,urgent,102,,True
T-361e49,A-bc4d48,2024-08-15 11:53:00,2024-08-16 09:19:31,21.4,urgent,29,3.0,False
T-c5ee86,A-bc4d48,2024-09-19 19:47:00,2024-09-20 06:01:27,10.2,low,89,,False
T-3625b2,A-bc4d48,2024-11-15 13:26:00,2024-11-16 07:44:43,18.3,urgent,48,,False
T-b16525,A-7dacce,2024-09-11 07:11:00,2024-09-13 17:09:27,58.0,urgent,66,2.0,True
T-b3b5de,A-5c046d,2024-09-14 17:09:00,2024-09-15 18:05:38,24.9,medium,165,,False
T-dd1ca5,A-5c046d,2024-09-12 10:04:00,2024-09-13 22:54:22,36.8,high,130,3.0,False
T-dfcfe5,A-5c046d,2024-11-19 11:29:00,2024-11-21 03:46:51,40.3,urgent,58,4.0,False
T-980a34,A-5c046d,2024-09-06 09:02:00,2024-09-06 21:30:19,12.5,urgent,33,5.0,False
T-607162,A-fce879,2024-11-17 18:53:00,2024-11-19 09:05:02,38.2,low,69,,False
T-458040,A-fce879,2024-12-02 14:51:00,2024-12-04 23:08:03,56.3,medium,171,,False
T-335a19,A-fce879,2024-10-03 20:23:00,2024-10-04 20:31:02,24.1,low,105,3.0,False
T-162dd6,A-fce879,2024-12-28 14:08:00,2024-12-31 06:56:14,64.8,urgent,81,4.0,False
T-d1f48a,A-fce879,2024-10-22 16:19:00,2024-10-24 02:51:34,34.5,low,126,4.0,True
T-fa0a14,A-e4bf56,2024-12-15 12:43:00,2024-12-16 19:34:39,30.9,high,49,4.0,False
T-2e2c98,A-e4bf56,2024-11-19 14:41:00,2024-11-20 07:02:13,16.4,medium,130,2.0,False
T-c2fa9e,A-e4bf56,2024-12-05 18:20:00,2024-12-07 01:38:16,31.3,medium,69,3.0,False
T-702681,A-cd458b,2024-07-11 10:51:00,2024-07-13 06:10:24,43.3,high,140,,False
T-932f4d,A-cd458b,2024-07-30 10:24:00,2024-07-31 23:44:38,37.3,high,23,,False
T-9252d0,A-cd458b,2024-06-30 12:57:00,2024-07-03 12:57:00,72.0,medium,115,1.0,False
T-605887,A-cd458b,2024-06-20 11:55:00,2024-06-21 17:33:13,29.6,low,138,2.0,False
T-5505c0,A-51ec1b,2024-01-31 16:57:00,2024-02-01 03:07:49,10.2,urgent,29,5.0,False
T-2681d3,A-51ec1b,2024-02-22 14:14:00,2024-02-23 08:19:54,18.1,medium,33,5.0,False
T-ddc73f,A-2789e3,2024-11-16 17:16:00,2024-11-18 18:26:06,49.2,urgent,78,,False
T-a42913,A-2789e3,2024-09-25 15:40:00,2024-09-26 20:53:55,29.2,urgent,104,,False
T-044c2e,A-484819,2023-05-04 13:34:00,2023-05-06 17:56:09,52.4,medium,180,2.0,True
T-ad49ca,A-484819,2023-03-31 16:30:00,2023-04-01 21:30:58,29.0,high,85,2.0,False
T-60a52b,A-484819,2023-04-12 16:24:00,2023-04-15 10:33:05,66.2,high,180,3.0,False
T-388b3c,A-484819,2023-03-25 16:23:00,2023-03-26 03:33:40,11.2,urgent,164,4.0,True
T-390c5d,A-484819,2023-03-15 14:19:00,2023-03-18 14:19:00,72.0,low,79,3.0,True
T-0a7776,A-313be3,2024-10-19 09:14:00,2024-10-22 03:59:48,66.8,low,16,,False
T-8e58f8,A-313be3,2024-09-25 12:35:00,2024-09-25 23:52:54,11.3,medium,32,,False
T-04bbd3,A-313be3,2024-03-13 08:18:00,2024-03-15 14:52:45,54.6,high,66,,False
T-073302,A-313be3,2024-11-02 10:51:00,2024-11-03 18:35:05,31.7,high,74,4.0,False
T-46610f,A-313be3,2024-11-21 20:11:00,2024-11-22 21:50:34,25.7,medium,31,,False
T-6ca52d,A-faa28c,2024-11-27 07:40:00,2024-11-30 05:50:13,70.2,high,65,3.0,False
T-5f2165,A-faa28c,2024-03-27 09:05:00,2024-03-28 06:07:27,21.0,high,36,4.0,True
T-122355,A-faa28c,2024-02-26 11:17:00,2024-02-26 19:27:28,8.2,high,180,3.0,False
T-44334e,A-faa28c,2024-06-09 20:31:00,2024-06-12 02:26:37,53.9,medium,48,,False
T-655965,A-075038,2024-10-25 19:18:00,2024-10-26 12:14:59,16.9,medium,13,4.0,False
T-0b007e,A-5f2961,2024-12-14 15:44:00,2024-12-17 07:09:17,63.4,low,67,,False
T-cb45c5,A-5f2961,2024-12-28 10:22:00,2024-12-30 08:09:09,45.8,urgent,158,,True
T-387355,A-5f2961,2024-12-27 09:19:00,2024-12-29 07:11:15,45.9,urgent,109,1.0,False
T-4ea405,A-5f2961,2024-11-30 15:09:00,2024-12-02 12:51:23,45.7,medium,118,2.0,False
T-434749,A-5f2961,2024-12-26 07:15:00,2024-12-27 21:23:52,38.1,urgent,180,,False
T-eaefc5,A-5f2961,2024-12-23 09:14:00,2024-12-26 09:14:00,72.0,medium,23,4.0,False
T-d1bb0a,A-5f2961,2024-12-10 16:26:00,2024-12-12 01:03:33,32.6,low,164,,False
T-f5fc63,A-67be94,2024-09-07 19:56:00,2024-09-09 08:02:57,36.1,urgent,103,,False
T-1033d8,A-67be94,2023-10-01 15:33:00,2023-10-02 03:54:23,12.4,high,95,2.0,False
T-e74b05,A-67be94,2024-04-03 13:45:00,2024-04-04 23:39:16,33.9,medium,71,,False
T-b04844,A-fa3095,2023-11-26 15:51:00,2023-11-27 08:53:02,17.0,low,134,,False
T-0e466e,A-fa3095,2024-02-04 19:22:00,2024-02-05 16:59:27,21.6,medium,39,4.0,False
T-4a042f,A-fa3095,2024-02-10 09:56:00,2024-02-10 21:57:12,12.0,urgent,38,,False
T-3537fd,A-fa3095,2023-11-14 19:23:00,2023-11-16 19:26:21,48.1,medium,51,4.0,False
T-b4b1d1,A-fa3095,2024-03-02 18:00:00,2024-03-04 00:30:47,30.5,high,40,,False
T-f1141e,A-fa3095,2024-01-14 15:45:00,2024-01-16 19:21:15,51.6,urgent,108,2.0,False
T-b62faa,A-fa3095,2023-09-26 16:54:00,2023-09-27 16:30:14,23.6,urgent,150,3.0,False
T-24baac,A-fa3095,2023-11-06 20:51:00,2023-11-07 13:09:42,16.3,urgent,127,1.0,False
T-9d4f46,A-b07b56,2024-12-30 15:22:00,2024-12-31 20:31:15,29.2,urgent,64,,False
T-257e9b,A-b07b56,2024-12-29 09:42:00,2024-12-30 09:18:11,23.6,high,36,5.0,False
T-646c2e,A-00bed1,2024-02-04 07:24:00,2024-02-06 10:29:01,51.1,urgent,180,4.0,False
T-1f9efe,A-00bed1,2024-02-12 17:59:00,2024-02-13 06:16:52,12.3,urgent,99,3.0,False
T-c66ac8,A-00bed1,2024-01-10 11:07:00,2024-01-10 23:34:50,12.5,urgent,61,4.0,False
T-db3540,A-55f257,2024-02-14 12:45:00,2024-02-15 09:48:44,21.1,urgent,72,2.0,False
T-9728a7,A-55f257,2023-12-26 14:04:00,2023-12-29 06:23:00,64.3,low,60,3.0,False
T-16b38c,A-55f257,2024-06-04 20:54:00,2024-06-06 19:10:38,46.3,medium,180,,True
T-c4e0c7,A-55f257,2024-07-08 17:53:00,2024-07-11 09:03:37,63.2,urgent,78,,False
T-0c06a5,A-55f257,2024-07-07 07:57:00,2024-07-08 16:02:46,32.1,urgent,177,,False
T-e3b093,A-55f257,2024-01-09 12:55:00,2024-01-12 04:38:53,63.7,urgent,92,2.0,True
T-fbadb9,A-331424,2024-04-22 16:46:00,2024-04-24 14:55:46,46.2,low,52,3.0,False
T-27f734,A-331424,2024-03-30 16:09:00,2024-03-31 17:38:54,25.5,urgent,15,4.0,False
T-a838cf,A-331424,2024-02-04 14:46:00,2024-02-07 02:02:18,59.3,low,98,2.0,False
T-e0b0dd,A-331424,2023-11-20 14:15:00,2023-11-21 01:50:49,11.6,high,112,,True
T-fac8e3,A-331424,2024-08-29 18:40:00,2024-09-01 18:40:00,72.0,high,37,1.0,False
T-829cf7,A-331424,2024-07-18 07:26:00,2024-07-18 16:32:30,9.1,medium,97,3.0,False
T-5f1793,A-331424,2023-11-28 18:38:00,2023-11-29 13:35:04,19.0,low,128,3.0,False
T-f3bb80,A-331424,2024-09-08 12:11:00,2024-09-11 12:11:00,72.0,urgent,67,4.0,True
T-b03b89,A-331424,2024-05-18 18:27:00,2024-05-21 18:27:00,72.0,urgent,147,3.0,False
T-c0efa1,A-331424,2024-07-17 17:25:00,2024-07-18 00:01:29,6.6,high,113,,True
T-ced164,A-0532a9,2024-12-17 16:53:00,2024-12-19 03:16:06,34.4,medium,34,3.0,False
T-189e1d,A-0532a9,2024-11-01 11:23:00,2024-11-03 14:59:11,51.6,urgent,73,,False
T-bd52c0,A-0532a9,2024-10-17 13:45:00,2024-10-17 15:39:44,1.9,low,40,2.0,False
T-950a20,A-0532a9,2024-12-20 17:42:00,2024-12-21 13:57:38,20.3,medium,34,,False
T-ce3a2b,A-0532a9,2024-12-08 09:46:00,2024-12-09 12:48:47,27.0,high,47,4.0,False
T-f3a253,A-86902e,2023-12-31 08:46:00,2024-01-02 00:37:53,39.9,urgent,38,,True
T-94f0ef,A-86902e,2023-05-27 12:16:00,2023-05-28 19:21:56,31.1,urgent,131,,False
T-e16958,A-86902e,2023-09-20 09:24:00,2023-09-21 07:32:49,22.1,high,24,4.0,False
T-8f2183,A-86902e,2024-03-22 13:18:00,2024-03-24 02:34:04,37.3,low,80,5.0,False
T-777d81,A-86902e,2024-04-18 16:23:00,2024-04-19 03:49:21,11.4,urgent,79,,False
T-7f4825,A-86902e,2024-02-04 13:07:00,2024-02-05 12:30:57,23.4,low,28,4.0,False
T-2c05d6,A-86902e,2024-04-19 15:34:00,2024-04-21 21:24:36,53.8,high,77,,False
T-9a2474,A-e83938,2024-03-05 18:11:00,2024-03-06 18:36:34,24.4,low,64,,False
T-f6b577,A-e83938,2024-01-08 17:49:00,2024-01-09 10:43:50,16.9,urgent,76,4.0,False
T-15ac59,A-e83938,2023-12-17 12:52:00,2023-12-18 15:44:34,26.9,urgent,17,4.0,False
T-94cacd,A-4a4c2d,2024-06-22 15:05:00,2024-06-25 01:26:51,58.4,low,60,2.0,False
T-818f51,A-4a4c2d,2023-09-04 08:04:00,2023-09-06 07:31:36,47.5,low,73,4.0,False
T-8f8016,A-4a4c2d,2024-04-09 18:21:00,2024-04-12 18:21:00,72.0,medium,55,,False
T-697195,A-4a4c2d,2023-07-14 10:47:00,2023-07-16 16:51:01,54.1,high,89,,False
T-fdf6e3,A-a2485e,2024-08-25 20:46:00,2024-08-26 08:39:51,11.9,medium,29,,False
T-cb5503,A-7920cc,2023-12-20 15:40:00,2023-12-23 12:24:43,68.7,urgent,123,3.0,False
T-a40287,A-7920cc,2023-12-30 12:15:00,2023-12-31 16:14:52,28.0,urgent,107,3.0,False
T-aab770,A-7920cc,2024-01-11 16:44:00,2024-01-12 15:33:35,22.8,low,101,3.0,False
T-0e409e,A-7920cc,2024-01-27 17:38:00,2024-01-29 02:46:23,33.1,medium,180,3.0,False
T-e519a7,A-7920cc,2024-01-27 08:08:00,2024-01-28 13:44:12,29.6,urgent,180,4.0,False
T-aeed89,A-7920cc,2023-12-02 17:50:00,2023-12-03 01:38:00,7.8,urgent,110,,False
T-37fd27,A-7920cc,2023-12-15 16:01:00,2023-12-16 09:11:04,17.2,low,65,4.0,False
T-9b2bb9,A-df1e44,2024-06-15 12:16:00,2024-06-16 03:27:39,15.2,urgent,20,,False
T-f4802d,A-df1e44,2024-07-08 19:07:00,2024-07-09 23:12:59,28.1,low,105,,False
T-5f55e9,A-df1e44,2024-05-08 12:45:00,2024-05-10 01:19:17,36.6,low,72,4.0,False
T-35882d,A-d535f6,2024-12-17 12:08:00,2024-12-18 10:46:41,22.6,medium,94,3.0,False
T-1bfca8,A-d535f6,2024-11-18 07:20:00,2024-11-19 07:04:31,23.7,low,67,2.0,False
T-366743,A-d535f6,2024-10-07 13:03:00,2024-10-08 13:31:20,24.5,medium,86,2.0,False
T-572d48,A-d535f6,2024-09-11 15:22:00,2024-09-12 21:25:54,30.1,high,53,4.0,False
T-538675,A-d535f6,2024-09-10 19:06:00,2024-09-11 06:02:33,10.9,urgent,133,3.0,False
T-ad276c,A-dbc825,2024-04-17 16:49:00,2024-04-17 23:37:03,6.8,low,37,,False
T-63b9b3,A-dbc825,2024-08-10 09:38:00,2024-08-10 22:37:34,13.0,medium,51,5.0,False
T-e5c3dc,A-e43bf7,2024-01-21 17:03:00,2024-01-22 14:06:21,21.1,medium,53,4.0,False
T-4bac03,A-e43bf7,2024-04-04 09:38:00,2024-04-05 08:18:02,22.7,medium,62,5.0,False
T-59a73a,A-e43bf7,2024-04-18 10:01:00,2024-04-20 02:27:01,40.4,medium,35,4.0,False
T-7ccfd7,A-e43bf7,2024-02-06 13:48:00,2024-02-08 17:03:33,51.3,urgent,82,5.0,False
T-0dd19f,A-94f8c9,2024-03-30 11:02:00,2024-03-31 04:53:39,17.9,medium,32,4.0,False
T-b40ad9,A-94f8c9,2024-10-04 15:16:00,2024-10-04 23:51:21,8.6,medium,40,4.0,False
T-ce17fd,A-54d94a,2023-10-30 09:45:00,2023-11-01 09:17:30,47.5,low,141,4.0,False
T-7ba098,A-54d94a,2023-08-23 15:04:00,2023-08-24 21:05:10,30.0,high,64,3.0,False
T-d02745,A-54d94a,2023-06-11 12:42:00,2023-06-14 04:54:16,64.2,medium,69,,False
T-6883ad,A-54d94a,2023-08-30 08:46:00,2023-09-01 19:14:11,58.5,urgent,72,4.0,False
T-99bea7,A-54d94a,2024-02-25 14:27:00,2024-02-26 11:08:03,20.7,urgent,125,3.0,False
T-4a5e89,A-533452,2024-11-29 20:56:00,2024-12-01 20:05:39,47.2,urgent,30,3.0,False
T-352e21,A-533452,2024-11-16 18:18:00,2024-11-18 00:42:07,30.4,urgent,31,3.0,False
T-6e20ab,A-533452,2024-12-21 17:37:00,2024-12-24 05:29:22,59.9,low,110,3.0,False
T-fa3094,A-038089,2024-04-28 19:18:00,2024-04-30 15:27:27,44.2,high,39,4.0,False
T-67609d,A-038089,2024-01-02 17:51:00,2024-01-03 01:22:59,7.5,high,47,3.0,False
T-7d9a96,A-038089,2024-03-05 09:42:00,2024-03-06 13:31:48,27.8,medium,98,4.0,False
T-090946,A-038089,2024-05-31 09:06:00,2024-06-01 06:52:46,21.8,low,86,,False
T-7f0e73,A-038089,2024-04-17 13:04:00,2024-04-19 04:55:26,39.9,medium,16,,False
T-5883d5,A-038089,2024-10-13 10:58:00,2024-10-14 13:08:10,26.2,low,44,5.0,False
T-d48889,A-d42431,2024-07-02 09:24:00,2024-07-02 16:00:46,6.6,low,6,5.0,False
T-059771,A-d42431,2024-08-05 17:57:00,2024-08-07 01:07:03,31.2,low,55,5.0,False
T-99b80c,A-96215d,2024-10-11 11:38:00,2024-10-12 19:40:41,32.0,high,49,,False
T-e77008,A-96215d,2024-09-23 19:51:00,2024-09-25 08:13:06,36.4,urgent,37,5.0,False
T-20318e,A-96215d,2024-09-21 15:47:00,2024-09-23 00:00:17,32.2,medium,46,4.0,False
